iter	Passed	Remaining
0	0	59
1	1	52
2	1	49
3	1	45
4	2	46
5	2	45
6	3	45
7	3	44
8	4	43
9	4	43
10	5	42
11	5	41
12	6	41
13	6	42
14	7	42
15	7	41
16	8	40
17	8	40
18	9	39
19	9	39
20	10	38
21	10	38
22	11	37
23	11	37
24	12	36
25	12	36
26	13	35
27	13	35
28	14	34
29	14	34
30	15	33
31	15	33
32	15	32
33	16	31
34	16	31
35	17	30
36	17	30
37	18	29
38	18	29
39	19	28
40	19	28
41	19	27
42	20	26
43	20	26
44	21	26
45	22	25
46	22	25
47	23	24
48	23	24
49	23	23
50	24	23
51	24	23
52	25	22
53	25	22
54	26	21
55	26	20
56	27	20
57	27	19
58	28	19
59	28	19
60	29	18
61	29	18
62	30	17
63	30	17
64	31	16
65	31	16
66	31	15
67	32	15
68	32	14
69	33	14
70	33	13
71	34	13
72	34	12
73	35	12
74	35	11
75	36	11
76	37	11
77	37	10
78	38	10
79	39	9
80	39	9
81	40	8
82	40	8
83	41	7
84	41	7
85	42	6
86	42	6
87	42	5
88	43	5
89	43	4
90	44	4
91	44	3
92	45	3
93	45	2
94	46	2
95	46	1
96	47	1
97	47	0
98	47	0
99	48	0
